A  	Element	Z 	N  	Energy	JPi        	Mass Exc    	Unc     	T1/2 (txt)       	T1/2 (seconds)               	Abund.  	Unc    	Dec Mode	Branching (%)
21 	N      	7 	14 	0.0000	(1/2-)     	25231.915   	134.048 	84 MS 7          	0.084                        	        	       	B-N     	86           
22 	N      	7 	15 	0.0000	(0-)       	31764.805   	207.779 	23 MS 3          	0.023                        	        	       	B-      	100          
22 	N      	7 	15 	0.0000	(0-)       	31764.805   	207.779 	23 MS 3          	0.023                        	        	       	B-N     	34           
22 	N      	7 	15 	0.0000	(0-)       	31764.805   	207.779 	23 MS 3          	0.023                        	        	       	B2N     	12           
23 	N      	7 	16 	0.0000	           	36720.429   	420.570 	14.1 MS +12-13   	0.0141                       	        	       	B-      	100          
23 	N      	7 	16 	0.0000	           	36720.429   	420.570 	14.1 MS +12-13   	0.0141                       	        	       	B-N     	42           
23 	N      	7 	16 	0.0000	           	36720.429   	420.570 	14.1 MS +12-13   	0.0141                       	        	       	B2N     	8            
24 	N      	7 	17 	0.0000	           	46938       	401     	52 NS            	0.000000052                  	        	       	N       	             
11 	O      	8 	3  	0.0000	(3/2-)     	47738.913   	60.038  	1.30 MEV         	3.5095208851645054e-22       	        	       	2P      	100          
12 	O      	8 	4  	0.0000	0+         	32013.335   	12.000  	72 KEV           	6.3366349315470245e-21       	        	       	2P      	100          
13 	O      	8 	5  	0.0000	(3/2-)     	23115.432   	9.526   	8.58 MS 5        	0.00858                      	        	       	EP      	100          
13 	O      	8 	5  	0.0000	(3/2-)     	23115.432   	9.526   	8.58 MS 5        	0.00858                      	        	       	EC      	100          
14 	O      	8 	6  	0.0000	0+         	8007.781    	0.025   	70.606 S 18      	70.606                       	        	       	EC      	100          
15 	O      	8 	7  	0.0000	1/2-       	2855.622    	0.490   	122.24 S 16      	122.24                       	        	       	EC      	100          
16 	O      	8 	8  	0.0000	0+         	-4737.00217 	0.00030 	STABLE           	infinity                     	99.757  	0.011  	        	             
17 	O      	8 	9  	0.0000	5/2+       	-808.76421  	0.00064 	STABLE           	infinity                     	0.03835 	0.00096	        	             
18 	O      	8 	10 	0.0000	0+         	-782.81634  	0.00064 	STABLE           	infinity                     	0.2045  	0.0102 	        	             
19 	O      	8 	11 	0.0000	5/2+       	3332.858    	2.637   	26.88 S 5        	26.88                        	        	       	B-      	100          
20 	O      	8 	12 	0.0000	0+         	3796.172    	0.885   	13.51 S 5        	13.51                        	        	       	B-      	100          
21 	O      	8 	13 	0.0000	(5/2+)     	8062.034    	12.000  	3.42 S 10        	3.42                         	        	       	B-      	100          
22 	O      	8 	14 	0.0000	0+         	9283.032    	56.921  	2.25 S 9         	2.25                         	        	       	B-      	100          
22 	O      	8 	14 	0.0000	0+         	9283.032    	56.921  	2.25 S 9         	2.25                         	        	       	B-N     	22           
23 	O      	8 	15 	0.0000	1/2+       	14621.371   	121.712 	97 MS 8          	0.097                        	        	       	B-      	100          
23 	O      	8 	15 	0.0000	1/2+       	14621.371   	121.712 	97 MS 8          	0.097                        	        	       	B-N     	7            
24 	O      	8 	16 	0.0000	0+         	18500.404   	164.874 	72 MS 5          	0.072                        	        	       	B-      	100          
24 	O      	8 	16 	0.0000	0+         	18500.404   	164.874 	72 MS 5          	0.072                        	        	       	B-N     	42           
25 	O      	8 	17 	0.0000	           	27329.030   	165.084 	                 	                             	        	       	N       	100          
26 	O      	8 	18 	0.0000	0+         	34661.041   	164.950 	4.5 PS +32-34    	0.0000000000045              	        	       	2N      	100          
13 	F      	9 	4  	0.0000	(5/2+)     	42030       	500     	1.01 MEV 27      	4.5172050997166895e-22       	        	       	        	             
14 	F      	9 	5  	0.0000	2-         	31964.403   	41.119  	910 KEV 100      	5.013601264520723e-22        	        	       	        	             
15 	F      	9 	6  	0.0000	1/2+       	16566.752   	14.000  	660 KEV 20       	6.912692652596753e-22        	        	       	P       	100          
16 	F      	9 	7  	0.0000	0-         	10675.182   	5.364   	40 KEV 20        	1.1405942876784644e-20       	        	       	P       	100          
17 	F      	9 	8  	0.0000	5/2+       	1951.701    	0.248   	64.49 S 16       	64.49                        	        	       	EC      	100          
18 	F      	9 	9  	0.0000	1+         	873.112     	0.463   	109.77 M 5       	6586.2                       	        	       	EC      	100          
19 	F      	9 	10 	0.0000	1/2+       	-1487.44512 	0.00082 	STABLE           	infinity                     	100     	       	        	             
