A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation	Rad subtype 	Rad Ene.  	Unc       	EP Ene.   	Unc       	Rad Int.  	Unc       	Dose        	Unc       
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	1822.25  	21 	       	   	14.2      	16  	0.26       	3  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	1919.3   	5  	       	   	5.8       	9   	0.111      	18 
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	2128.8   	7  	       	   	20        	4   	0.43       	8  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	2314.2   	8  	       	   	2.3       	8   	0.053      	19 
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	2414.3   	4  	       	   	4.4       	11  	0.11       	3  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	2515.9   	13 	       	   	0.9       	3   	0.022      	8  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	2734.2   	5  	       	   	3.6       	6   	0.098      	16 
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	3431.4   	4  	       	   	7.6       	9   	0.26       	3  
23 	F      	9 	14 	0.0        	    	(5/2+)    	B-      	2.23 S 14     	2.23              	23NE    	G        	           	3830.7   	4  	       	   	2.0       	3   	0.078      	13 
18 	NE     	10	8  	0          	    	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	XR ka1     	0.677    	   	       	   	2.7E-4    	12  	1.8E-9     	8  
18 	NE     	10	8  	0          	    	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	XR ka2     	0.677    	   	       	   	1.3E-4    	5   	9.E-10     	3  
18 	NE     	10	8  	0          	    	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	Annihil.   	511.0    	   	       	   	199.9     	6   	           	   
18 	NE     	10	8  	0          	    	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	           	659.25   	20 	       	   	0.135     	5   	8.9E-4     	3  
18 	NE     	10	8  	0          	    	0+        	B+      	1.672 S 8     	1.672             	18F     	G        	           	1041.52  	8  	       	   	7.83      	21  	0.0816     	22 
